,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
379,florianopolis,-27.61,-48.5,24.44,69,0,5.7,BR,1598727371
380,batagay-alyta,67.8,130.41,6.77,67,100,0.67,RU,1598727371
381,pevek,69.7,170.31,2.89,83,100,2.71,RU,1598727372
382,prainha,-1.8,-53.48,34.29,43,21,2.59,BR,1598727372
383,cururupu,-1.83,-44.87,29.69,60,1,3.38,BR,1598727372
384,sao jose da coroa grande,-8.9,-35.15,25.79,76,26,5.61,BR,1598727372
385,eldorado,-23.79,-54.28,28.97,46,0,3.6,BR,1598727372
386,kendari,-3.94,122.5,22.53,91,89,1.45,ID,1598727372
387,sao filipe,14.9,-24.5,27.3,76,69,1.94,CV,1598727373
388,sakakah,29.97,40.21,35,9,0,3.6,SA,1598727373
389,snasa,64.25,12.38,11.18,69,97,1.26,NO,1598727373
390,dunedin,-45.87,170.5,10.56,70,6,3.58,NZ,1598727166
391,latung,5.5,120.88,28.43,72,100,1.92,PH,1598727373
392,araouane,18.9,-3.53,33.1,43,98,5.68,ML,1598727373
393,port elizabeth,-33.92,25.57,9,76,40,5.7,ZA,1598727374
394,mercedes,-34.65,-59.43,13.89,86,88,2.24,AR,1598727129
395,namibe,-15.2,12.15,16.67,72,0,4.01,AO,1598727248
396,port moresby,-9.44,147.18,23.15,86,58,1.06,PG,1598727320
